"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"LENGTH";"UNIT";"DIMENSION";"STATISTIC";"ANATOMICAL_ENTITY";"CORRESPONDING_ORTHOGONAL";"GENDER";"BIOLOGICAL_STAGE";"CASTE";"GEOGRAPHIC_EXTENT";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"UNIT_ID";"DIMENSION_ID";"STATISTIC_ID";"ANATOMICAL_ENTITY_ID";"GENDER_ID";"BIOLOGICAL_STAGE_ID";"CASTE_ID";"GEOGRAPHIC_EXTENT_ID";"SOURCE_ID"
"bfITD667";"Andrena montana Warncke, 1973";"317589";"Andrena montana";"Warncke, 1973";317589;"Andrena montana";"Warncke, 1973";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1,68;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";932825;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD668";"Colletes brevigena Noskiewicz, 1936";"317802";"Colletes brevigena";"Noskiewicz, 1936";317802;"Colletes brevigena";"Noskiewicz, 1936";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";2,72;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";933782;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD669";"Colletes hederae Schmidt & Westrich, 1993";"317811";"Colletes hederae";"Schmidt & Westrich, 1993";317811;"Colletes hederae";"Schmidt & Westrich, 1993";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";2,77;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";933847;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD670";"Colletes hederae Schmidt & Westrich, 1993";"317811";"Colletes hederae";"Schmidt & Westrich, 1993";317811;"Colletes hederae";"Schmidt & Westrich, 1993";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";3,23;"mm";"intertegular distance";"mean";NA;NA;NA;"adult";NA;NA;"Fortel, L. 2014. Écologie et conservation des abeilles sauvages le long d’un gradient d’urbanisation. Sciences agricoles. Université d’Avignon.";2;"Abeilles";933841;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"https://taxref.mnhn.fr/taxref-web/traits/values/430";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/307430"
"bfITD671";"Colletes impunctatus Nylander, 1852";"317814";"Colletes impunctatus";"Nylander, 1852";317814;"Colletes impunctatus";"Nylander, 1852";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";2,07;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";933852;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD672";"Epeolus alpinus Friese, 1893";"317865";"Epeolus alpinus";"Friese, 1893";317865;"Epeolus alpinus";"Friese, 1893";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomadinae";"Epeolini";"Epeolus";"Arthropodes";"Insectes";"Hyménoptères";1,44;"mm";"intertegular distance";"mean";NA;NA;NA;"adult";NA;NA;"Fortel, L. 2014. Écologie et conservation des abeilles sauvages le long d’un gradient d’urbanisation. Sciences agricoles. Université d’Avignon.";2;"Abeilles";933930;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"https://taxref.mnhn.fr/taxref-web/traits/values/430";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/307430"
"bfITD673";"Epeolus fallax Morawitz, 1872";"317868";"Epeolus fallax";"Morawitz, 1872";317868;"Epeolus fallax";"Morawitz, 1872";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomadinae";"Epeolini";"Epeolus";"Arthropodes";"Insectes";"Hyménoptères";2,28;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";933925;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD674";"Halictus compressus (Walckenaer, 1802)";"317939";"Halictus compressus";"(Walckenaer, 1802)";317939;"Halictus compressus";"(Walckenaer, 1802)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";1,77;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";934025;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD675";"Hylaeus leptocephalus (Morawitz, 1871)";"318075";"Hylaeus leptocephalus";"(Morawitz, 1871)";318075;"Hylaeus leptocephalus";"(Morawitz, 1871)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Hylaeinae";"";"Hylaeus";"Arthropodes";"Insectes";"Hyménoptères";1,02;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";934404;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD676";"Hylaeus leptocephalus (Morawitz, 1871)";"318075";"Hylaeus leptocephalus";"(Morawitz, 1871)";318075;"Hylaeus leptocephalus";"(Morawitz, 1871)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Hylaeinae";"";"Hylaeus";"Arthropodes";"Insectes";"Hyménoptères";2,28;"mm";"intertegular distance";"mean";NA;NA;NA;"adult";NA;NA;"Fortel, L. 2014. Écologie et conservation des abeilles sauvages le long d’un gradient d’urbanisation. Sciences agricoles. Université d’Avignon.";2;"Abeilles";934398;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"https://taxref.mnhn.fr/taxref-web/traits/values/430";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/307430"
"bfITD677";"Lasioglossum duckei (Alfken, 1909)";"318117";"Lasioglossum duckei";"(Alfken, 1909)";318117;"Lasioglossum duckei";"(Alfken, 1909)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Lasioglossum";"Arthropodes";"Insectes";"Hyménoptères";0,7;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";934632;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD678";"Lasioglossum sexstrigatum (Schenck, 1869)";"318160";"Lasioglossum sexstrigatum";"(Schenck, 1869)";318160;"Lasioglossum sexstrigatum";"(Schenck, 1869)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Lasioglossum";"Arthropodes";"Insectes";"Hyménoptères";2,55;"mm";"intertegular distance";"mean";NA;NA;NA;"adult";NA;NA;"Fortel, L. 2014. Écologie et conservation des abeilles sauvages le long d’un gradient d’urbanisation. Sciences agricoles. Université d’Avignon.";2;"Abeilles";935021;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"https://taxref.mnhn.fr/taxref-web/traits/values/430";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/307430"
"bfITD679";"Lasioglossum zonulum (Smith, 1848)";"318170";"Lasioglossum zonulum";"(Smith, 1848)";318170;"Lasioglossum zonulum";"(Smith, 1848)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Lasioglossum";"Arthropodes";"Insectes";"Hyménoptères";1,91;"mm";"intertegular distance";"mean";NA;NA;NA;"adult";NA;NA;"Fortel, L. 2014. Écologie et conservation des abeilles sauvages le long d’un gradient d’urbanisation. Sciences agricoles. Université d’Avignon.";2;"Abeilles";935097;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"https://taxref.mnhn.fr/taxref-web/traits/values/430";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/307430"
"bfITD680";"Lasioglossum zonulum (Smith, 1848)";"318170";"Lasioglossum zonulum";"(Smith, 1848)";318170;"Lasioglossum zonulum";"(Smith, 1848)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Lasioglossum";"Arthropodes";"Insectes";"Hyménoptères";1,76;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";935103;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD682";"Nomada argentata Herrich-Schaffer, 1839";"318249";"Nomada argentata";"Herrich-Schäffer, 1839";318249;"Nomada argentata";"Herrich-Schäffer, 1839";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomadinae";"Nomadini";"Nomada";"Arthropodes";"Insectes";"Hyménoptères";1,29;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";935416;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD683";"Nomada rufipes Fabricius, 1793";"318332";"Nomada rufipes";"Fabricius, 1793";318332;"Nomada rufipes";"Fabricius, 1793";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomadinae";"Nomadini";"Nomada";"Arthropodes";"Insectes";"Hyménoptères";1,44;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";935613;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD684";"Sphecodes rubicundus Hagens, 1875";"318504";"Sphecodes rubicundus";"Hagens, 1875";318504;"Sphecodes rubicundus";"Hagens, 1875";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Sphecodes";"Arthropodes";"Insectes";"Hyménoptères";1,66;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";936182;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD685";"Stelis punctulatissima (Kirby, 1802)";"318516";"Stelis punctulatissima";"(Kirby, 1802)";318516;"Stelis punctulatissima";"(Kirby, 1802)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Stelis";"Arthropodes";"Insectes";"Hyménoptères";2,23;"mm";"intertegular distance";"";NA;NA;NA;"adult";NA;NA;"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";2;"Abeilles";936231;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444932"
"bfITD686";"Stelis punctulatissima (Kirby, 1802)";"318516";"Stelis punctulatissima";"(Kirby, 1802)";318516;"Stelis punctulatissima";"(Kirby, 1802)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Stelis";"Arthropodes";"Insectes";"Hyménoptères";2,59;"mm";"intertegular distance";"mean";NA;NA;NA;"adult";NA;NA;"Fortel, L. 2014. Écologie et conservation des abeilles sauvages le long d’un gradient d’urbanisation. Sciences agricoles. Université d’Avignon.";2;"Abeilles";936225;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"https://taxref.mnhn.fr/taxref-web/traits/values/430";NA;NA;"https://taxref.mnhn.fr/taxref-web/traits/values/50";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/307430"
