"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"RANK";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"RELATION_EN";"CD_NOM_02";"LB_NOM_02";"VALID_NAME_02";"LB_AUTHOR_02";"RANK_02";"KINGDOM_02";"PHYLUM_02";"CLASS_02";"ORDER_02";"FAMILY_02";"GENUS_02";"GROUP1_INPN_02";"GROUP2_INPN_02";"CD_DOC";"SOURCE";"DOC_URL";"LB_ETAT_SEXE_EN_1";"WIKIDATA_SEXE_1";"CD_ETAT_STADE_1";"LB_ETAT_STADE_EN_1";"WIKIDATA_STADE_1";"CD_ETAT_SPECIFICITE";"SPECIFITY";"WIKIDATA_SPECIFICITE";"LB_ETAT_STADE_EN_2";"WIKIDATA_STADE_2";"CD_BIOLINTER_SP"
"bfPol21";"Lasioglossum cristula (Perez, 1895)";"239830";"Lasioglossum cristula";"(Pérez, 1895)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444728";"Petanidou T. 1994. Nature conservation and pollination ecology in phrygana (garrigue of East Mediterranean). In: Jimenez-Peydró R., Marcos-García A. [Ed] Environmental Management and Arthropod Conservation. Asociación Española de Entomología, Valencia: 139–150";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"119180"
"bfPol22";"Lasioglossum nitidiusculum (Kirby, 1802)";"239866";"Lasioglossum nitidiusculum";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"120300"
"bfPol23";"Lasioglossum minutulum (Schenck, 1853)";"239863";"Lasioglossum minutulum";"(Schenck, 1853)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"121097"
"bfPol24";"Lasioglossum marginellum (Schenck, 1853)";"239858";"Lasioglossum marginellum";"(Schenck, 1853)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"122636"
"bfPol25";"Lasioglossum malachurum (Kirby, 1802)";"239855";"Lasioglossum malachurum";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"447698";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Geslin, B., Schatz, B. 2024. BeeFunc : a comprehensive trait database for French wild bees.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"121329"
"bfPol26";"Lasioglossum calceatum (Scopoli, 1763)";"239822";"Lasioglossum calceatum";"(Scopoli, 1763)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"123295"
"bfPol27";"Lasioglossum albipes (Fabricius, 1781)";"239811";"Lasioglossum albipes";"(Fabricius, 1781)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"118879"
"bfPol28";"Lasioglossum aeratum (Kirby, 1802)";"239810";"Lasioglossum aeratum";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"132";"principal";NA;NA;NA;"120284"
"bfPol29";"Halictus maculatus Smith, 1848";"53130";"Halictus maculatus";"Smith, 1848";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictus";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"118871"
"bfPol30";"Hylaeus duckei (Alfken, 1904)";"239774";"Hylaeus duckei";"(Alfken, 1904)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Hylaeus";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"121876"
