"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"SOCIABILITY";"SPECIFICITY";"BIOLOGICAL_STAGE";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"SOCIABILITY_ID";"SPECIFICITY_ID";"BIOLOGICAL_STAGE_ID";"SOURCE_ID"
"bfSoc21";"Halictus maculatus Smith, 1848";"53130";"Halictus maculatus";"Smith, 1848";53130;"Halictus maculatus";"Smith, 1848";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";"social > presocial > subsocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";940054;"https://taxref.mnhn.fr/taxref-web/traits/values/1157";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc22";"Halictus quadricinctus (Fabricius, 1777)";"53144";"Halictus quadricinctus";"(Fabricius, 1777)";53144;"Halictus quadricinctus";"(Fabricius, 1777)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";"solitary";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";940056;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfSoc23";"Halictus quadricinctus (Fabricius, 1777)";"53144";"Halictus quadricinctus";"(Fabricius, 1777)";53144;"Halictus quadricinctus";"(Fabricius, 1777)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";"solitary";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";940058;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc24";"Halictus rubicundus (Christ, 1791)";"53145";"Halictus rubicundus";"(Christ, 1791)";53145;"Halictus rubicundus";"(Christ, 1791)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";"social > presocial > subsocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";940060;"https://taxref.mnhn.fr/taxref-web/traits/values/1157";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc25";"Halictus scabiosae (Rossi, 1790)";"53146";"Halictus scabiosae";"(Rossi, 1790)";53146;"Halictus scabiosae";"(Rossi, 1790)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";"social > presocial > subsocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";940882;"https://taxref.mnhn.fr/taxref-web/traits/values/1157";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc26";"Halictus scabiosae (Rossi, 1790)";"53146";"Halictus scabiosae";"(Rossi, 1790)";53146;"Halictus scabiosae";"(Rossi, 1790)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";"solitary";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";940066;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc27";"Halictus scabiosae (Rossi, 1790)";"53146";"Halictus scabiosae";"(Rossi, 1790)";53146;"Halictus scabiosae";"(Rossi, 1790)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";"social > presocial > subsocial";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";940064;"https://taxref.mnhn.fr/taxref-web/traits/values/1157";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfSoc28";"Halictus scabiosae (Rossi, 1790)";"53146";"Halictus scabiosae";"(Rossi, 1790)";53146;"Halictus scabiosae";"(Rossi, 1790)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";"solitary";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";940062;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfSoc29";"Halictus simplex Bluthgen, 1923";"53148";"Halictus simplex";"Blüthgen, 1923";53148;"Halictus simplex";"Blüthgen, 1923";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";"solitary";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";940070;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc30";"Megachile centuncularis (Linnaeus, 1758)";"53157";"Megachile centuncularis";"(Linnaeus, 1758)";53157;"Megachile centuncularis";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";"Arthropodes";"Insectes";"Hyménoptères";"solitary";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";940368;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
