"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"ECOLOGICAL_AFFINITY";"SOURCE";"DATASET_TITLE";"SOURCE_ID"
"bfEco11";"Andrena hesperia Smith, 1853";"239366";"Andrena hesperia";"Smith, 1853";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfEco12";"Andrena hypopolia Schmiedeknecht, 1883";"239369";"Andrena hypopolia";"Schmiedeknecht, 1883";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco13";"Andrena nigroolivacea Dours, 1873";"239396";"Andrena nigroolivacea";"Dours, 1873";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco14";"Andrena nitidiuscula Schenck, 1853";"239401";"Andrena nitidiuscula";"Schenck, 1853";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Xerothermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco15";"Andrena nuptialis Perez, 1902";"239404";"Andrena nuptialis";"Perez, 1902";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco16";"Andrena pallitarsis Perez, 1903";"239408";"Andrena pallitarsis";"Perez, 1903";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Xerothermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco17";"Andrena pandellei Perez, 1895";"239409";"Andrena pandellei";"Perez, 1895";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Xerothermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco18";"Andrena potentillae Panzer, 1808";"239416";"Andrena potentillae";"Panzer, 1808";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco19";"Andrena praecox (Scopoli, 1763)";"239417";"Andrena praecox";"(Scopoli, 1763)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Hygrophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco20";"Andrena proxima (Kirby, 1802)";"239418";"Andrena proxima";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco21";"Andrena rufula Schmiedeknecht, 1883";"239428";"Andrena rufula";"Schmiedeknecht, 1883";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco22";"Andrena schencki Morawitz, 1866";"239434";"Andrena schencki";"Morawitz, 1866";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Hygrophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco23";"Andrena spreta Perez, 1895";"239442";"Andrena spreta";"Perez, 1895";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Xerothermophile";"Tomozei, B. & Radchenko, V. 2015. Andrena spreta. The IUCN Red List of Threatened Species 2015: e.T19198631A21312767.";"Abeilles";447857
"bfEco24";"Andrena suerinensis Friese, 1884";"239446";"Andrena suerinensis";"Friese, 1884";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Xerothermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco25";"Andrena synadelpha Perkins, 1914";"239448";"Andrena synadelpha";"Perkins, 1914";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Hygrophile";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfEco26";"Andrena tarsata Nylander, 1848";"239450";"Andrena tarsata";"Nylander, 1848";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Hygrophile";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
