"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"NUMBER_OF_CELLS";"STATISTIC";"SOURCE";"DATASET_TITLE";"SOURCE_ID"
"bfNestCel31";"Lasioglossum pauxillum (Schenck, 1853)";"239871";"Lasioglossum pauxillum";"(Schenck, 1853)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Lasioglossum";NA;NA;NA;6;"max";"Pesenko Yu. A., Banaszak J., Radchenko V. G., Cierzniak T. 2000. Bees of the family Halictidae (excluding Sphecodes) of Poland : taxonomy, ecology, bionomics. Wydawnictwo Uczelniane Wyzszej Szkoly Pedagogicznej w Bydgoszczy, Bydgoszcz. 348pp.";"Abeilles";444727
"bfNestCel32";"Lasioglossum xanthopus (Kirby, 1802)";"815156";"Lasioglossum xanthopus";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Lasioglossum";NA;NA;NA;8;"max";"Pesenko Yu. A., Banaszak J., Radchenko V. G., Cierzniak T. 2000. Bees of the family Halictidae (excluding Sphecodes) of Poland : taxonomy, ecology, bionomics. Wydawnictwo Uczelniane Wyzszej Szkoly Pedagogicznej w Bydgoszczy, Bydgoszcz. 348pp.";"Abeilles";444727
"bfNestCel33";"Megachile albisecta (Klug in Germar, 1817)";"808448";"Megachile albisecta";"(Klug in Germar, 1817)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;9;"max";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";"Abeilles";444864
"bfNestCel34";"Megachile analis Nylander, 1852";"239907";"Megachile analis";"Nylander, 1852";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;5;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel35";"Megachile apicalis Spinola, 1808";"239908";"Megachile apicalis";"Spinola, 1808";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;8;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel36";"Megachile centuncularis (Linnaeus, 1758)";"53157";"Megachile centuncularis";"(Linnaeus, 1758)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;15;"max";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";"Abeilles";444864
"bfNestCel37";"Megachile circumcincta (Kirby, 1802)";"53158";"Megachile circumcincta";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;5;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel38";"Megachile ericetorum Lepeletier, 1841";"721013";"Megachile ericetorum";"Lepeletier, 1841";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;8;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel39";"Megachile genalis Morawitz, 1880";"239915";"Megachile genalis";"Morawitz, 1880";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;15;"max";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestCel40";"Megachile genalis Morawitz, 1880";"239915";"Megachile genalis";"Morawitz, 1880";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Megachilini";"Megachile";NA;NA;NA;15;"max";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";"Abeilles";444864
