"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"RANK";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"RELATION_EN";"CD_NOM_02";"LB_NOM_02";"VALID_NAME_02";"LB_AUTHOR_02";"RANK_02";"KINGDOM_02";"PHYLUM_02";"CLASS_02";"ORDER_02";"FAMILY_02";"GENUS_02";"GROUP1_INPN_02";"GROUP2_INPN_02";"CD_DOC";"SOURCE";"DOC_URL";"LB_ETAT_SEXE_EN_1";"WIKIDATA_SEXE_1";"CD_ETAT_STADE_1";"LB_ETAT_STADE_EN_1";"WIKIDATA_STADE_1";"CD_ETAT_SPECIFICITE";"SPECIFITY";"WIKIDATA_SPECIFICITE";"LB_ETAT_STADE_EN_2";"WIKIDATA_STADE_2";"CD_BIOLINTER_SP"
"bfLec2434";"Eucera elongatula Vachal, 1907";"239670";"Eucera elongatula";"Vachal, 1907";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Eucera";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444901";"Friese H. 1896. Die Bienen Europa's (Apidae europaeae). Theil II. Solitäre Apiden. Genus Eucera. R. Friedländer & Sohn, Berlin. 216 pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"122131"
"bfLec2435";"Andrena labiata Fabricius, 1781";"239375";"Andrena labiata";"Fabricius, 1781";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"118621"
"bfLec2436";"Andrena freygessneri Alfken, 1904";"814735";"Andrena freygessneri";"Alfken, 1904";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444699";"Müller, A. 2018. Pollen host selection by predominantly alpine bee species of Andrena, Panurginus, Dufourea, Megachile, Hoplitis and Osmia (Hymenoptera, Apoidea). Alpine Entomology, 2: 101-113.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"118528"
"bfLec2437";"Andrena freygessneri Alfken, 1904";"814735";"Andrena freygessneri";"Alfken, 1904";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"118528"
"bfLec2438";"Andrena flavipes Panzer, 1799";"239347";"Andrena flavipes";"Panzer, 1799";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444815";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"119317"
"bfLec2439";"Andrena flavipes Panzer, 1799";"239347";"Andrena flavipes";"Panzer, 1799";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"119317"
"bfLec2442";"Trachusa laticeps (Morawitz, 1873)";"240176";"Trachusa laticeps";"(Morawitz, 1873)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Trachusa";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444697";"Muller A. 1996. Host-Plant Specialization in Western Palearctic Anthidiine Bees (Hymenoptera, Apoidea, Megachilidae). Ecological Monographs, 66(2): 235-257.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"122187"
"bfLec2443";"Trachusa laticeps (Morawitz, 1873)";"240176";"Trachusa laticeps";"(Morawitz, 1873)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Trachusa";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444930";"Kasparek M. 2017. Resin bees of the Anthidiine genus Trachusa. Identification, taxonomy, distribution and biology of the Old World species. Entomofauna, 21: 1-152.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"122187"
"bfLec2444";"Eucera dalmatica Lepeletier, 1841";"239668";"Eucera dalmatica";"Lepeletier, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Eucera";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"393027";"Banaszack, J. & Rasmont, P. 1994. Eucera Scopoli nouvelles pour la France (Hymenoptera, Anthophorinae). Bulletin de la Société entomologique de France, 99 (2) : 165-168;";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"121288"
"bfLec2445";"Eucera dalmatica Lepeletier, 1841";"239668";"Eucera dalmatica";"Lepeletier, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Eucera";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444684";"Mavromoustakis, G. 1957. The bees (Hymenoptera, Apoidea) of Cyprus. Annals and Magazine of Natural History, 10(113): 321-337.";"http://dx.doi.org/10.1080/00222935708655964";NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"121288"
"bfLec2446";"Eucera dalmatica Lepeletier, 1841";"239668";"Eucera dalmatica";"Lepeletier, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Eucera";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444927";"Iuga V. G. 1958. Fauna Republicii Populare Romîne. Hymenoptera Apoidea Fam. Apidae Subfam. Anthophorinae. Academia Republicii Populare Romîne, Bucuresti. 270 pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"121288"
"bfLec2447";"Andrena dorsata (Kirby, 1802)";"239339";"Andrena dorsata";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444815";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"119033"
