LB_NOM;VALID_NAME;PHYLUM;CLASS;ORDER;FAMILY;SUBFAMILY;TRIBE;GENUS;SUBGENUS;CD_NOM
Andrena fuscipes;Andrena fuscipes (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cnemidandrena;239355
Andrena fuscosa;Andrena fuscosa Erichson in Waltl, 1835;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239356
Andrena gelriae;Andrena gelriae van der Vecht, 1927;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239358
Andrena granulosa;Andrena granulosa Perez, 1902;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239359
Andrena gravida;Andrena gravida Imhoff, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239360
Andrena gredana;Andrena gredana Warncke, 1975 ;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Taeniandrena;1077794
Andrena griseobalteata;Andrena griseobalteata Dours, 1872;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena;239361
Andrena haemorrhoa;Andrena haemorrhoa (Fabricius, 1781);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Trachandrena;239362
Andrena hattorfiana;Andrena hattorfiana (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Charitandrena;239363
Andrena hedikae;Andrena hedikae Jaeger, 1934;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Aenandrena;239364
Andrena helvola;Andrena helvola (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239365
Andrena hesperia;Andrena hesperia Smith, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chrysandrena;239366
Andrena humilis;Andrena humilis Imhoff, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239368
Andrena hypopolia;Andrena hypopolia Schmiedeknecht, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239369
Andrena hystrix;Andrena hystrix Schmiedeknecht, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Aenandrena;239370
