LB_NOM;VALID_NAME;PHYLUM;CLASS;ORDER;FAMILY;SUBFAMILY;TRIBE;GENUS;SUBGENUS;CD_NOM
Colletes maidli;Colletes maidli Noskiewicz, 1936;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239631
Colletes marginatus;Colletes marginatus Smith, 1846;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239632
Colletes mlokossewiczi;Colletes mlokossewiczi Radoszkowski, 1891;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239633
Colletes nigricans;Colletes nigricans Gistel, 1857;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239634
Colletes pulchellus;Colletes pulchellus Perez, 1903;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239635
Colletes sierrensis;Colletes sierrensis Frey-Gessner, 1901;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;961879
Colletes similis;Colletes similis Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239636
Colletes succinctus;Colletes succinctus (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239637
Dasypoda albimana;Dasypoda albimana Perez, 1905;Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;Heterodasypoda;317834
Dasypoda argentata;Dasypoda argentata Panzer, 1809;Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;Megadasypoda;239640
Dasypoda cingulata;Dasypoda cingulata Erichson in Waltl, 1835;Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;;239641
Dasypoda crassicornis;Dasypoda crassicornis Friese, 1896;Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;Microdasypoda;239642
Dasypoda dusmeti;Dasypoda dusmeti Quilis, 1928;Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;Dasypoda;239643
Dasypoda hirtipes;Dasypoda hirtipes (Fabricius, 1793);Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;Dasypoda;653777
Dasypoda morawitzi;Dasypoda morawitzi Radchenko, 2016;Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;Dasypoda;908833
Dasypoda pyrotrichia;Dasypoda pyrotrichia Forster, 1855;Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;Heterodasypoda;317842
Dasypoda visnaga;Dasypoda visnaga (Rossi, 1790);Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;Megadasypoda;239645
Dioxys cinctus;Dioxys cinctus (Jurine, 1807);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Dioxyini;Dioxys;;850197
Dioxys moestus;Dioxys moestus Costa, 1883;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Dioxyini;Dioxys;;850199
Dufourea alpina;Dufourea alpina Morawitz, 1865;Arthropoda;Insecta;Hymenoptera;Halictidae;Rophitinae;;Dufourea;;239649
Dufourea dentiventris;Dufourea dentiventris (Nylander, 1848);Arthropoda;Insecta;Hymenoptera;Halictidae;Rophitinae;;Dufourea;;239650
Dufourea halictula;Dufourea halictula (Nylander, 1852);Arthropoda;Insecta;Hymenoptera;Halictidae;Rophitinae;;Dufourea;;239651
Dufourea inermis;Dufourea inermis (Nylander, 1848);Arthropoda;Insecta;Hymenoptera;Halictidae;Rophitinae;;Dufourea;;239652
Dufourea minuta;Dufourea minuta Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Halictidae;Rophitinae;;Dufourea;;239653
Dufourea paradoxa;Dufourea paradoxa (Morawitz, 1867);Arthropoda;Insecta;Hymenoptera;Halictidae;Rophitinae;;Dufourea;;239654
Epeoloides coecutiens;Epeoloides coecutiens (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Osirini;Epeoloides;;239655
Epeolus alpinus;Epeolus alpinus Friese, 1893;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Epeolini;Epeolus;;317865
Epeolus compar;Epeolus compar Alfken, 1938;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Epeolini;Epeolus;;939315
Epeolus cruciger;Epeolus cruciger (Panzer, 1799);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Epeolini;Epeolus;;239656
Epeolus fallax;Epeolus fallax Morawitz, 1872;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Epeolini;Epeolus;;317868
Epeolus intermedius;Epeolus intermedius Perez, 1884;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Epeolini;Epeolus;;239657
Epeolus julliani;Epeolus julliani Perez, 1884;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Epeolini;Epeolus;;239658
Epeolus productulus;Epeolus productulus Bischoff, 1930;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Epeolini;Epeolus;;814746
Epeolus tarsalis;Epeolus tarsalis Morawitz, 1873;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Epeolini;Epeolus;;239659
Epeolus variegatus;Epeolus variegatus (Linnaeus, 1758) ;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Epeolini;Epeolus;;999858
Eucera barbiventris;Eucera barbiventris Pérez, 1902;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;;1038199
Eucera breviceps;Eucera breviceps Friese, 1911;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Cubitalia;1031426
Eucera caspica;Eucera caspica Morawitz, 1873;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;;239663
Eucera cineraria;Eucera cineraria Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239664
Eucera clypeata;Eucera clypeata Erichson in Waltl, 1835;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;;239665
Eucera collaris;Eucera collaris Dours, 1873;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239666
Eucera dalmatica;Eucera dalmatica Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239668
Eucera elongatula;Eucera elongatula Vachal, 1907;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239670
Eucera grisea;Eucera grisea Fabricius, 1793;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;;1025959
Eucera hispana;Eucera hispana Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239676
Eucera hungarica;Eucera hungarica Friese, 1896;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Synhalonia;808459
Eucera interrupta;Eucera interrupta Bar, 1850;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239677
Eucera longicornis;Eucera longicornis (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;;239678
Eucera nigrescens;Eucera nigrescens Perez, 1880;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;;239679
Eucera nigrifacies;Eucera nigrifacies Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239680
Eucera nigrilabris;Eucera nigrilabris Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239681
Eucera notata;Eucera notata Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;;1038200
Eucera numida;Eucera numida Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239682
Eucera pannonica;Eucera pannonica Mocsary, 1878;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;317915
Eucera pollinosa;Eucera pollinosa Smith, 1854;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239684
Eucera proxima;Eucera proxima Morawitz, 1875;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;317920
Eucera pulveracea;Eucera taurica Morawitz, 1871;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239685
Eucera rufa;Eucera rufa (Lepeletier, 1841);Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Synhalonia;808466
Eucera ruficollis;Eucera ruficollis (Brullé, 1832);Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;;1077868
Eucera taurica;Eucera taurica Morawitz, 1871;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;239686
Eucera tricincta;Eucera tricincta Erichson in Waltl, 1835;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;;814749
Eucera vulpes;Eucera vulpes Brulle, 1832;Arthropoda;Insecta;Hymenoptera;Apidae;Eucerinae;Eucerini;Eucera;Eucera;317928
Habropoda tarsata;Habropoda tarsata (Spinola, 1838);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Habropoda;;239687
Habropoda zonatula;Habropoda zonatula (Smith, 1854);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Habropoda;;239688
Halictus adjikenticus;Halictus adjikenticus Bluthgen, 1923;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Monilapis;883855
Halictus alfkenellus;Halictus alfkenellus Strand, 1909;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Platyhalictus;239690
Halictus asperulus;Halictus asperulus Perez, 1895;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Tithalictus;883857
Halictus brunnescens;Halictus brunnescens (Eversmann, 1852);Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Halictus;239691
Halictus carinthiacus;Halictus carinthiacus Bluthgen, 1936;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Monilapis;317934
Halictus cochlearitarsis;Halictus cochlearitarsis (Dours, 1872);Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Hexataenites;239692
Halictus compressus;Halictus compressus (Walckenaer, 1802);Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Monilapis;317939
Halictus crenicornis;Halictus crenicornis Bluthgen, 1923;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Monilapis;721012
Halictus fulvipes;Halictus fulvipes (Klug in Germar, 1817);Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;;239697
Halictus gruenwaldti;Halictus gruenwaldti Ebmer, 1975;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Monilapis;239699
Halictus langobardicus;Halictus langobardicus Bluthgen, 1944;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Monilapis;239702
Halictus maculatus;Halictus maculatus Smith, 1848;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Tythalictus;53130
Halictus patellatus;Halictus patellatus Morawitz, 1873;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Acalcaripes;239704
Halictus pyrenaeus;Halictus pyrenaeus Perez, 1903;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Monilapis;239706
Halictus quadricinctus;Halictus quadricinctus (Fabricius, 1777);Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;;53144
Halictus rubicundus;Halictus rubicundus (Christ, 1791);Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Protohalictus;53145
Halictus scabiosae;Halictus scabiosae (Rossi, 1790);Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Hexataenites;53146
Halictus sexcinctus;Halictus sexcinctus (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Hexataenites;239708
Halictus simplex;Halictus simplex Bluthgen, 1923;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;Monilapis;53148
Halictus tridivisus;Halictus tridivisus Bluthgen, 1923;Arthropoda;Insecta;Hymenoptera;Halictidae;Halictinae;Halictini;Halictus;;883858
Heriades crenulata;Heriades crenulata Nylander, 1856;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Heriades;Heriades;815169
Heriades rubicola;Heriades rubicola Perez, 1890;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Heriades;Heriades;239717
Heriades truncorum;Heriades truncorum (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Heriades;;239718
Hoplitis acuticornis;Hoplitis acuticornis (Dufour & Perris, 1840);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;;239719
Hoplitis adunca;Hoplitis adunca (Panzer, 1798);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;239720
Hoplitis agnielae;Hoplitis agnielae Le Divelec, 2024;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Alcidamea;1078454
Hoplitis annulata;Hoplitis annulata (Latreille, 1811);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;239722
Hoplitis anthocopoides;Hoplitis anthocopoides (Schenck, 1853);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;239723
Hoplitis antigae;Hoplitis antigae (Perez, 1895);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;318001
Hoplitis benoisti;Hoplitis benoisti (Alfken, 1935);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;239724
Hoplitis bihamata;Hoplitis bihamata (Costa, 1885);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;239725
Hoplitis bisulca;Hoplitis bisulca (Gerstacker, 1869);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;239726
Hoplitis brachypogon;Hoplitis brachypogon (Perez, 1880);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;;239727
Hoplitis ciliaris;Hoplitis ciliaris (Perez, 1902);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Alcidamea;239728
Hoplitis claviventris;Hoplitis claviventris (Thomson, 1872);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Alcidamea;239729
Hoplitis corsaria;Hoplitis corsaria (Warncke, 1991);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;1046899
Hoplitis cristatula;Hoplitis cristatula (Van der Zanden, 1990);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;;239732
Hoplitis curtula;Hoplitis curtula (Perez, 1895);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Alcidamea;239734
Hoplitis curvipes;Hoplitis curvipes (Morawitz, 1871);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Alcidamea;239733
Hoplitis dalmatica;Hoplitis dalmatica (Morawitz, 1871);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;239735
Hoplitis fasciculata;Hoplitis fasciculata (Alfken in Nadig & Nadig, 1934);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;;814934
Hoplitis jakovlevi;Hoplitis jakovlevi (Radoszkowski, 1874);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;814836
Hoplitis lepeletieri;Hoplitis lepeletieri (Perez, 1880);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;;239737
Hoplitis leucomelana;Hoplitis leucomelana (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Alcidamea;239738
Hoplitis lithodorae;Hoplitis lithodorae Muller, 2012;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;814840
Hoplitis loti;Hoplitis loti (Morawitz, 1867);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;239739
Hoplitis manicata;Hoplitis manicata (Morice, 1901);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;318027
Hoplitis mitis;Hoplitis mitis (Nylander, 1852);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Alcidamea;239740
Hoplitis mocsaryi;Hoplitis mocsaryi (Friese, 1895);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;239741
Hoplitis occidentalis;Hoplitis occidentalis Muller, 2012;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Alcidamea;814842
Hoplitis ochraceicornis;Hoplitis ochraceicornis (Ferton, 1903);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;;239743
Hoplitis onosmaevae;Hoplitis onosmaevae Aubert, 2024;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;Err :504
Hoplitis papaveris;Hoplitis papaveris (Latreille, 1799);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;239744
Hoplitis perezi;Hoplitis perezi (Ferton, 1895);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;239745
Hoplitis praestans;Hoplitis praestans (Morawitz, 1894);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;;239746
Hoplitis ravouxi;Hoplitis ravouxi (Perez, 1902);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;239747
Hoplitis robusta;Hoplitis robusta (Nylander, 1848);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Formicapis;239748
Hoplitis saxialis;Hoplitis saxialis (van der Zanden, 1994);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;1039328
Hoplitis stecki;Hoplitis stecki (Frey-Gessner, 1908);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Hoplitis;932179
Hoplitis tenuispina;Hoplitis tenuispina (Alfken, 1936);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;;318045
Hoplitis tridentata;Hoplitis tridentata (Dufour & Perris, 1840);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;;239751
Hoplitis tuberculata;Hoplitis tuberculata (Nylander, 1848);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Alcidamea;239752
Hoplitis villosa;Hoplitis villosa (Schenck, 1853);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Hoplitis;Anthocopa;239753
Hylaeus alpinus;Hylaeus alpinus (Morawitz, 1867);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Spatulariella;239759
Hylaeus angustatus;Hylaeus angustatus (Schenck, 1861);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;;239760
Hylaeus annularis;Hylaeus annularis (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Lambdopsis;239761
Hylaeus annulatus;Hylaeus annulatus (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;;239762
Hylaeus bifasciatus;Hylaeus bifasciatus (Jurine, 1807);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Koptogaster;239763
Hylaeus brachycephalus;Hylaeus brachycephalus (Morawitz, 1868);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Dentigera;239765
Hylaeus brevicornis;Hylaeus brevicornis Nylander, 1852;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Dentigera;239766
Hylaeus clypearis;Hylaeus clypearis (Schenck, 1853);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Paraprosopis;239767
Hylaeus communis;Hylaeus communis Nylander, 1852;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Hylaeus;239768
Hylaeus confusus;Hylaeus confusus Nylander, 1852;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Prosopis;239770
Hylaeus coriaceus;Hylaeus coriaceus (Perez, 1895);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Prosopis;318064
Hylaeus cornutus;Hylaeus cornutus Curtis, 1831;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;;1000619
Hylaeus crassanus;Hylaeus crassanus (Warncke, 1972);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Lambdopsis;239772
Hylaeus deceptorius;Hylaeus deceptorius (Benoist, 1960);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Hylaeus;814845
Hylaeus difformis;Hylaeus difformis (Eversmann, 1852);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Patagiata;239773
Hylaeus dilatatus;Hylaeus dilatatus (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Lambdopsis;808464
Hylaeus duckei;Hylaeus duckei (Alfken, 1904);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Prosopis;239774
Hylaeus euryscapus;Hylaeus euryscapus Forster, 1871;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Lambdopsis;239775
Hylaeus gibbus;Hylaeus gibbus Saunders, 1850;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Prosopis;239776
Hylaeus glacialis;Hylaeus glacialis Morawitz, 1872;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Dentigera;239777
Hylaeus gracilicornis;Hylaeus gracilicornis (Morawitz, 1867);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;;239778
Hylaeus gredleri;Hylaeus gredleri Forster, 1871;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Dentigera;239779
Hylaeus hyalinatus;Hylaeus hyalinatus Smith, 1842;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Spatulariella;239780
Hylaeus hyperpunctatus;Hylaeus hyperpunctatus (Strand, 1909);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Spatulariella;814848
Hylaeus imparilis;Hylaeus imparilis Forster, 1871;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Dentigera;239781
Hylaeus incongruus;Hylaeus incongruus Forster, 1871;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Prosopis;814852
Hylaeus intermedius;Hylaeus intermedius Forster, 1871;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Dentigera;939275
Hylaeus kahri;Hylaeus kahri Forster, 1871;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Dentigera;239782
Hylaeus leptocephalus;Hylaeus leptocephalus (Morawitz, 1871);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Hylaeus;318075
Hylaeus lineolatus;Hylaeus lineolatus (Schenck, 1861);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Paraprosopis;239783
Hylaeus mariannae;Hylaeus mariannae Theunert, 2013;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Hylaeus;939282
Hylaeus meridionalis;Hylaeus meridionalis Forster, 1871;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Prosopis;239784
Hylaeus nigrifacies;Hylaeus nigrifacies Bramson, 1879;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;;939286
Hylaeus nigritus;Hylaeus nigritus (Fabricius, 1798);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Hylaeus;239785
Hylaeus nivalis;Hylaeus nivalis (Morawitz, 1867);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Hylaeus;239786
Hylaeus paulus;Hylaeus paulus Bridwell, 1919;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Hylaeus;318078
Hylaeus pectoralis;Hylaeus pectoralis Forster, 1871;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Nesoprosopis;239788
Hylaeus pfankuchi;Hylaeus pfankuchi (Alfken, 1919);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Lambdopsis;239789
Hylaeus pictipes;Hylaeus pictipes Nylander, 1852;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Paraprosopis;239790
Hylaeus pictus;Hylaeus pictus (Smith, 1853);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Prosopis;814855
Hylaeus pilosulus;Hylaeus pilosulus (Perez, 1903);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Dentigera;239791
Hylaeus punctatus;Hylaeus punctatus (Brulle, 1832);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Spatulariella;239792
Hylaeus punctulatissimus;Hylaeus punctulatissimus Smith, 1843;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;;239793
Hylaeus purpurissatus;Hylaeus purpurissatus (Vachal, 1895);Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;Hylaeus;Prosopis;1012804
