"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"GENERATION_PER_YEAR";"STATISTIC";"GEOGRAPHIC_EXTENT";"MIN_ALTITUDE_IN_M";"MAX_ALTITUDE_IN_M";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"STATISTIC_ID";"GEOGRAPHIC_EXTENT_ID";"SOURCE_ID"
"bfVol712";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;NA;"Hauts-de-France";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951217;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER32";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol713";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";2;NA;"Corse";NA;500;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951200;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER94";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol714";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";2;NA;"Provence-Alpes-Côte-d'Azur";NA;500;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951188;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER93";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol715";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;NA;"Centre";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951223;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER24";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol716";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;NA;"Bretagne";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951226;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER53";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol717";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";2;NA;"Occitanie";NA;500;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951192;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER76";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol718";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";2;NA;"Nouvelle-Aquitaine";NA;500;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951196;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER75";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol719";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;NA;"Normandie";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951211;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER28";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol720";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;NA;"Grand Est";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951220;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER44";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol721";"Andrena propinqua Schenck, 1853";"718531";"Andrena propinqua";"Schenck, 1853";718531;"Andrena propinqua";"Schenck, 1853";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;NA;"Bourgogne-Franche-Comté";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";951229;NA;"https://cardobs.mnhn.fr/cardObs/location/INSEER27";"https://taxref.mnhn.fr/taxref-web/docs/444912"
