"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"LENGTH";"UNIT";"DIMENSION";"STATISTIC";"ANATOMICAL_ENTITY";"CORRESPONDING_ORTHOGONAL";"GENDER";"BIOLOGICAL_STAGE";"CASTE";"GEOGRAPHIC_EXTENT";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"UNIT_ID";"DIMENSION_ID";"STATISTIC_ID";"ANATOMICAL_ENTITY_ID";"GENDER_ID";"BIOLOGICAL_STAGE_ID";"CASTE_ID";"GEOGRAPHIC_EXTENT_ID";"SOURCE_ID"
908833;"Dasypoda morawitzi";"Radchenko, 2016";908833;"Dasypoda morawitzi";"Radchenko, 2016";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Melittidae";"Dasypodainae";"";"Dasypoda";"Arthropodes";"Insectes";"Hyménoptères";13,5;" mm";" length";" maximum";" body";NA;" male";" adult";" reproductiveCaste";"";"Radchenko, V. G. 2016. A new widespread European bee species of the genus Dasypoda Latreille (Hymenoptera, Apoidea). <em>Zootaxa</em>, 4184(3): 491-504.";"2.0";"Abeilles";919578;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/30";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/240890"
932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Hoplitis";"Arthropodes";"Insectes";"Hyménoptères";3,17;" mm";" intertegular distance";"";"";NA;"";" adult";"";"";"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";"2.0";"Abeilles";934225;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";"";"";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444932"
932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Hoplitis";"Arthropodes";"Insectes";"Hyménoptères";10,5;" mm";" length";" minimum";" body";NA;" male";" adult";" reproductiveCaste";"";"<br />Müller, A. 2016. <em>Hoplitis (Hoplitis) galichicae spec. nov.</em>, a new osmiine bee species from Macedonia with key to the European representatives of the <em>Hoplitis adunc</em>a species group. <em>Zootaxa 4111</em>: 167-176.<br />&nbsp;";"2.0";"Abeilles";904656;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/30";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444701"
932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Hoplitis";"Arthropodes";"Insectes";"Hyménoptères";10,5;" mm";" length";" minimum";" body";NA;" female";" adult";" reproductiveCaste";"";"<br />Müller, A. 2016. <em>Hoplitis (Hoplitis) galichicae spec. nov.</em>, a new osmiine bee species from Macedonia with key to the European representatives of the <em>Hoplitis adunc</em>a species group. <em>Zootaxa 4111</em>: 167-176.<br />&nbsp;";"2.0";"Abeilles";912405;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/40";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444701"
932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Hoplitis";"Arthropodes";"Insectes";"Hyménoptères";12,5;" mm";" length";" maximum";" body";NA;" female";" adult";" reproductiveCaste";"";"<br />Müller, A. 2016. <em>Hoplitis (Hoplitis) galichicae spec. nov.</em>, a new osmiine bee species from Macedonia with key to the European representatives of the <em>Hoplitis adunc</em>a species group. <em>Zootaxa 4111</em>: 167-176.<br />&nbsp;";"2.0";"Abeilles";928128;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/40";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444701"
932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";932179;"Hoplitis stecki";"(Frey-Gessner, 1908)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Hoplitis";"Arthropodes";"Insectes";"Hyménoptères";12,5;" mm";" length";" maximum";" body";NA;" male";" adult";" reproductiveCaste";"";"<br />Müller, A. 2016. <em>Hoplitis (Hoplitis) galichicae spec. nov.</em>, a new osmiine bee species from Macedonia with key to the European representatives of the <em>Hoplitis adunc</em>a species group. <em>Zootaxa 4111</em>: 167-176.<br />&nbsp;";"2.0";"Abeilles";920379;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/30";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444701"
939286;"Hylaeus nigrifacies";"Bramson, 1879";939286;"Hylaeus nigrifacies";"Bramson, 1879";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Hylaeinae";"";"Hylaeus";"Arthropodes";"Insectes";"Hyménoptères";4;" mm";" length";" minimum";" body";NA;" female";" adult";" reproductiveCaste";"";"Amiet F., Müller A., Neumeyer R. 1999. <em>Apidae 2 : Colletes, Dufourea, Hylaeus, Nomia, Nomioides, Rhophitoides, Rophites, Sphecodes, Systropha</em>.&nbsp; Fauna Helvetica 4. 239pp.";"2.0";"Abeilles";912711;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/40";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444886"
939286;"Hylaeus nigrifacies";"Bramson, 1879";939286;"Hylaeus nigrifacies";"Bramson, 1879";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Hylaeinae";"";"Hylaeus";"Arthropodes";"Insectes";"Hyménoptères";5;" mm";" length";" maximum";" body";NA;" male";" adult";" reproductiveCaste";"";"Amiet F., Müller A., Neumeyer R. 1999. <em>Apidae 2 : Colletes, Dufourea, Hylaeus, Nomia, Nomioides, Rhophitoides, Rophites, Sphecodes, Systropha</em>.&nbsp; Fauna Helvetica 4. 239pp.";"2.0";"Abeilles";920676;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/30";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444886"
939286;"Hylaeus nigrifacies";"Bramson, 1879";939286;"Hylaeus nigrifacies";"Bramson, 1879";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Hylaeinae";"";"Hylaeus";"Arthropodes";"Insectes";"Hyménoptères";3,5;" mm";" length";" minimum";" body";NA;" male";" adult";" reproductiveCaste";"";"Amiet F., Müller A., Neumeyer R. 1999. <em>Apidae 2 : Colletes, Dufourea, Hylaeus, Nomia, Nomioides, Rhophitoides, Rophites, Sphecodes, Systropha</em>.&nbsp; Fauna Helvetica 4. 239pp.";"2.0";"Abeilles";904953;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/30";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444886"
939286;"Hylaeus nigrifacies";"Bramson, 1879";939286;"Hylaeus nigrifacies";"Bramson, 1879";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Hylaeinae";"";"Hylaeus";"Arthropodes";"Insectes";"Hyménoptères";5,5;" mm";" length";" maximum";" body";NA;" female";" adult";" reproductiveCaste";"";"Amiet F., Müller A., Neumeyer R. 1999. <em>Apidae 2 : Colletes, Dufourea, Hylaeus, Nomia, Nomioides, Rhophitoides, Rophites, Sphecodes, Systropha</em>.&nbsp; Fauna Helvetica 4. 239pp.";"2.0";"Abeilles";928434;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/40";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444886"
939376;"Panurginus montanus";"Giraud, 1861";939376;"Panurginus montanus";"Giraud, 1861";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Panurginae";"Panurgini";"Panurginus";"Arthropodes";"Insectes";"Hyménoptères";7;" mm";" length";" maximum";" body";NA;" male";" adult";" reproductiveCaste";"";"SwissBeeTeam. 2018. <em>Atlas en ligne des abeilles sauvages de Suisse</em>. InfoFauna. http://swisswildbee.ch.";"2.0";"Abeilles";923448;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/30";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444815"
939376;"Panurginus montanus";"Giraud, 1861";939376;"Panurginus montanus";"Giraud, 1861";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Panurginae";"Panurgini";"Panurginus";"Arthropodes";"Insectes";"Hyménoptères";1,28;" mm";" intertegular distance";"";"";NA;"";" adult";"";"";"Leclercq, V. 2019. <em>Enjeux de Conservation des abeilles sauvages (Apoidea : Anthophila) sur un réseau de réserves naturelles : Analyse statistique</em>. Univ; Paris Saclay, Sciences Sorbonne Université, RNF. 74 pp.";"2.0";"Abeilles";935900;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1621";"";"";"";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444932"
939376;"Panurginus montanus";"Giraud, 1861";939376;"Panurginus montanus";"Giraud, 1861";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Panurginae";"Panurgini";"Panurginus";"Arthropodes";"Insectes";"Hyménoptères";6;" mm";" length";" minimum";" body";NA;" female";" adult";" reproductiveCaste";"";"SwissBeeTeam. 2018. <em>Atlas en ligne des abeilles sauvages de Suisse</em>. InfoFauna. http://swisswildbee.ch.";"2.0";"Abeilles";915663;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/40";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444815"
939376;"Panurginus montanus";"Giraud, 1861";939376;"Panurginus montanus";"Giraud, 1861";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Panurginae";"Panurgini";"Panurginus";"Arthropodes";"Insectes";"Hyménoptères";7;" mm";" length";" maximum";" body";NA;" female";" adult";" reproductiveCaste";"";"SwissBeeTeam. 2018. <em>Atlas en ligne des abeilles sauvages de Suisse</em>. InfoFauna. http://swisswildbee.ch.";"2.0";"Abeilles";931386;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/40";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444815"
939376;"Panurginus montanus";"Giraud, 1861";939376;"Panurginus montanus";"Giraud, 1861";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Panurginae";"Panurgini";"Panurginus";"Arthropodes";"Insectes";"Hyménoptères";6;" mm";" length";" minimum";" body";NA;" male";" adult";" reproductiveCaste";"";"SwissBeeTeam. 2018. <em>Atlas en ligne des abeilles sauvages de Suisse</em>. InfoFauna. http://swisswildbee.ch.";"2.0";"Abeilles";907725;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/30";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/444815"
939518;"Andrena tscheki";"Morawitz, 1872";939518;"Andrena tscheki";"Morawitz, 1872";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";13;" mm";" length";" maximum";" body";NA;" female";" adult";" reproductiveCaste";"";"Amiet, F., Herrmann, M, Müller, A. &amp; Neumeyer, R. 2010. Apidae 6 –&nbsp;<em>Andrena, Melliturga, Panurginus, Panurgus. Fauna Helvetica&nbsp;</em>26 : 1-317.";"2.0";"Abeilles";925833;"https://taxref.mnhn.fr/taxref-web/traits/values/203";"https://taxref.mnhn.fr/taxref-web/traits/values/1100";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"https://taxref.mnhn.fr/taxref-web/traits/values/1000";"https://taxref.mnhn.fr/taxref-web/traits/values/40";"https://taxref.mnhn.fr/taxref-web/traits/values/50";"https://taxref.mnhn.fr/taxref-web/traits/values/900";"";"https://taxref.mnhn.fr/taxref-web/docs/307569"
