CD_NOM;LB_NOM;NOM_COMPLET;NOM_VALIDE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;GENRE;SOUS_GENRE
996927;Andrena apicatus;Andrena apicatus Smith, 1847;Andrena apicata Smith, 1847;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena
407122;Andrena arcuata;Andrena arcuata Perez, 1903;Andrena cinerea Brulle, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena
239309;Andrena argentata;Andrena argentata Smith, 1844;Andrena argentata Smith, 1844;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Leucandrena
999651;Andrena armata;Andrena armata Panzer, 1799;Melecta albifrons albifrons (Forster, 1771);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Melectini;Melecta;
239310;Andrena asperrima;Andrena asperrima Perez, 1895;Andrena asperrima Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Agandrena
239311;Andrena assimilis;Andrena assimilis Radoszkowski, 1876;Andrena assimilis Radoszkowski, 1876;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena
239312;Andrena avara;Andrena avara Warncke, 1967;Andrena avara Warncke, 1967;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Avandrena
932256;Andrena avara liturata;Andrena avara liturata Warncke, 1974;Andrena avara liturata Warncke, 1974;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
317479;Andrena barbareae;Andrena barbareae Panzer, 1803;Andrena barbareae Panzer, 1803;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239313;Andrena barbilabris;Andrena barbilabris (Kirby, 1802);Andrena barbilabris (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Leucandrena
939718;Andrena barbilabris barbilabris;Andrena barbilabris barbilabris (Kirby, 1802);Andrena barbilabris barbilabris (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
808440;Andrena batava;Andrena batava Pérez, 1902;Andrena batava Pérez, 1902;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena
239314;Andrena bicolor;Andrena bicolor Fabricius, 1775;Andrena bicolor Fabricius, 1775;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena
239315;Andrena bicolorata;Andrena bicolorata (Rossi, 1790);Andrena bicolorata (Rossi, 1790);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena
239316;Andrena bimaculata;Andrena bimaculata (Kirby, 1802);Andrena bimaculata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Plastandrena
997444;Andrena bimaculata;Andrena bimaculata Lepeletier, 1841;Andrena binominata Smith, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena
239317;Andrena binominata;Andrena binominata Smith, 1853;Andrena binominata Smith, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena
407137;Andrena bipartita;Andrena bipartita Brulle, 1839;Andrena savignyi Spinola, 1838;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Suandrena
997623;Andrena bothriorhina;Andrena bothriorhina Perez, 1902;Andrena symphyti symphyti Schmiedeknecht, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239319;Andrena boyerella;Andrena boyerella auct. non Dours, 1872;Andrena leucolippa Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena
939578;Andrena bremensis;Andrena bremensis Alfken, 1900;Andrena bremensis Alfken, 1900;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239320;Andrena brumanensis;Andrena brumanensis Friese, 1899;Andrena brumanensis Friese, 1899;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cryptandrena
239321;Andrena bucephala;Andrena bucephala Stephens, 1846;Andrena bucephala Stephens, 1846;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hoplandrena
1014608;Andrena canescens;Andrena canescens Schenck, 1853;Andrena afzeliella (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239322;Andrena carantonica;Andrena carantonica auct. non Perez, 1902;Andrena scotica Perkins, 1916;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hoplandrena
721011;Andrena carbonaria;Andrena carbonaria auct. non (Linnaeus, 1767);Andrena pilipes Fabricius, 1781;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Plastandrena
407142;Andrena catania;Andrena catania Strand, 1921;Andrena verticalis Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Graecandrena
997626;Andrena cellularis;Andrena cellularis Perez, 1902;Andrena vulpecula Kriechbaumer, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena
239323;Andrena chrysopus;Andrena chrysopus Perez, 1903;Andrena chrysopus Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena
239324;Andrena chrysopyga;Andrena chrysopyga Schenck, 1853;Andrena chrysopyga Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena
